epoch,loss,validation_loss
1,0.0373,0.0263
2,0.0270,0.0245
3,0.0242,0.0232
4,0.0234,0.0232
5,0.0218,0.0205
6,0.0217,0.0218
7,0.0217,0.0210
8,0.0210,0.0205
9,0.0207,0.0222
10,0.0212,0.0200
11,0.0191,0.0190
12,0.0194,0.0189
13,0.0196,0.0188
14,0.0182,0.0199
15,0.0188,0.0168
16,0.0184,0.0223
17,0.0185,0.0195
18,0.0187,0.0189
19,0.0181,0.0197
20,0.0175,0.0181
21,0.0179,0.0154
22,0.0182,0.0191
23,0.0172,0.0194
24,0.0178,0.0187
25,0.0170,0.0194
26,0.0169,0.0184
27,0.0177,0.0162
28,0.0171,0.0154
29,0.0170,0.0172
30,0.0164,0.0177
31,0.0170,0.0177
32,0.0166,0.0170
33,0.0167,0.0175
34,0.0171,0.0164
35,0.0170,0.0155
36,0.0170,0.0175
37,0.0171,0.0161
38,0.0164,0.0151
39,0.0166,0.0177
40,0.0157,0.0143
41,0.0157,0.0163
42,0.0153,0.0170
43,0.0147,0.0168
44,0.0154,0.0133
45,0.0163,0.0175
46,0.0146,0.0179
47,0.0152,0.0163
48,0.0151,0.0146
49,0.0156,0.0161
50,0.0148,0.0169
